id	target_txt	checkpoint	prediction
1509  common_voice_sv-SE_18847705	Us or the competition.	-	-
1509  common_voice_sv-SE_18847705	Us or the competition.	250	You don’t know.
1509  common_voice_sv-SE_18847705	Us or the competition.	50	You an’the the the the the.
1509  common_voice_sv-SE_18847705	Us or the competition.	1250	You don’t need to insist.
1509  common_voice_sv-SE_18847705	Us or the competition.	750	I don’t want to feel like an eight.
1509  common_voice_sv-SE_18847705	Us or the competition.	1000	You don’t need to insist.
1509  common_voice_sv-SE_18847705	Us or the competition.	500	What are you doing here now?
723  common_voice_sv-SE_19475976	I also have a dog.	-	-
723  common_voice_sv-SE_19475976	I also have a dog.	250	What are you going?
723  common_voice_sv-SE_19475976	I also have a dog.	50	I I tous the toure the the the the the.
723  common_voice_sv-SE_19475976	I also have a dog.	1250	How much do I have to lose?
723  common_voice_sv-SE_19475976	I also have a dog.	750	I hope he becomes.
723  common_voice_sv-SE_19475976	I also have a dog.	1000	Lets start our own, together.
723  common_voice_sv-SE_19475976	I also have a dog.	500	What are you going to do?
1504  common_voice_sv-SE_18847696	Well they can’t manufacture anything.	-	-
1504  common_voice_sv-SE_18847696	Well they can’t manufacture anything.	250	Why do you know that?
1504  common_voice_sv-SE_18847696	Well they can’t manufacture anything.	50	You an’the the the the the the the the the.
1504  common_voice_sv-SE_18847696	Well they can’t manufacture anything.	1250	That I don’t know.
1504  common_voice_sv-SE_18847696	Well they can’t manufacture anything.	750	I’m not going to start talking crap now.
1504  common_voice_sv-SE_18847696	Well they can’t manufacture anything.	1000	Can you get the phone out for me?
1504  common_voice_sv-SE_18847696	Well they can’t manufacture anything.	500	What are you going to do now?
1103  common_voice_sv-SE_18858828	Have you experienced it before?	-	-
1103  common_voice_sv-SE_18858828	Have you experienced it before?	250	You don’t know.
1103  common_voice_sv-SE_18858828	Have you experienced it before?	50	I I’s the the the athe the the athe the the athe.
1103  common_voice_sv-SE_18858828	Have you experienced it before?	1250	Yes, I want to know.
1103  common_voice_sv-SE_18858828	Have you experienced it before?	750	I didn’t want to ruin your nice entry.
1103  common_voice_sv-SE_18858828	Have you experienced it before?	1000	No, I don’t want to taste.
1103  common_voice_sv-SE_18858828	Have you experienced it before?	500	Yes, I don’t know what you will.
1202  common_voice_sv-SE_18797088	Am i getting this right?	-	-
1202  common_voice_sv-SE_18797088	Am i getting this right?	250	What are you going?
1202  common_voice_sv-SE_18797088	Am i getting this right?	50	I I atous tous the the the the the the the athe the.
1202  common_voice_sv-SE_18797088	Am i getting this right?	1250	Come on, let’s leave.
1202  common_voice_sv-SE_18797088	Am i getting this right?	750	That is my wife.
1202  common_voice_sv-SE_18797088	Am i getting this right?	1000	Do you have a solid line?
1202  common_voice_sv-SE_18797088	Am i getting this right?	500	What are you going to do?
419  common_voice_sv-SE_18762822	We have a guest speaker.	-	-
419  common_voice_sv-SE_18762822	We have a guest speaker.	250	What are you going?
419  common_voice_sv-SE_18762822	We have a guest speaker.	50	I I an’t the the the the the athe.
419  common_voice_sv-SE_18762822	We have a guest speaker.	1250	I’m finished soon.
419  common_voice_sv-SE_18762822	We have a guest speaker.	750	I will let you know.
419  common_voice_sv-SE_18762822	We have a guest speaker.	1000	I’m going to the police.
419  common_voice_sv-SE_18762822	We have a guest speaker.	500	What are you going to do?
1559  common_voice_sv-SE_18858223	No, I have football practice.	-	-
1559  common_voice_sv-SE_18858223	No, I have football practice.	250	Why do you know that?
1559  common_voice_sv-SE_18858223	No, I have football practice.	50	You an’the the the the the the the the the.
1559  common_voice_sv-SE_18858223	No, I have football practice.	1250	Why don’t you check out backstay?
1559  common_voice_sv-SE_18858223	No, I have football practice.	750	We have to head north while we can.
1559  common_voice_sv-SE_18858223	No, I have football practice.	1000	When I was little I knew a girl.
1559  common_voice_sv-SE_18858223	No, I have football practice.	500	I don’t want to start your brother.
1580  common_voice_sv-SE_18858782	I could have been dead now.	-	-
1580  common_voice_sv-SE_18858782	I could have been dead now.	250	You don’t know.
1580  common_voice_sv-SE_18858782	I could have been dead now.	50	I I an’the the the the the the the the the athe the the.
1580  common_voice_sv-SE_18858782	I could have been dead now.	1250	Oh, there was a can to down.
1580  common_voice_sv-SE_18858782	I could have been dead now.	750	I don’t know what he’s doing.
1580  common_voice_sv-SE_18858782	I could have been dead now.	1000	Oh my God, what happened?
1580  common_voice_sv-SE_18858782	I could have been dead now.	500	What are you going to do now?
1049  common_voice_sv-SE_18858730	Do you have a dog?	-	-
1049  common_voice_sv-SE_18858730	Do you have a dog?	250	What do you know that?
1049  common_voice_sv-SE_18858730	Do you have a dog?	50	I I an’the toure the the the athe the the athe the the the.
1049  common_voice_sv-SE_18858730	Do you have a dog?	1250	He was not to get them now.
1049  common_voice_sv-SE_18858730	Do you have a dog?	750	I have not been able to interrogate him yet.
1049  common_voice_sv-SE_18858730	Do you have a dog?	1000	He isn’t police, but they say he’s good.
1049  common_voice_sv-SE_18858730	Do you have a dog?	500	What are you going to do now?
1476  common_voice_sv-SE_18847642	I’ve been fired.	-	-
1476  common_voice_sv-SE_18847642	I’ve been fired.	250	What do you know that?
1476  common_voice_sv-SE_18847642	I’ve been fired.	50	You an’the the the the the.
1476  common_voice_sv-SE_18847642	I’ve been fired.	1250	Why don’t you just take it?
1476  common_voice_sv-SE_18847642	I’ve been fired.	750	I don’t want to feel like an eight.
1476  common_voice_sv-SE_18847642	I’ve been fired.	1000	When was the last time you saw then?
1476  common_voice_sv-SE_18847642	I’ve been fired.	500	What are you going to do now?
1213  common_voice_sv-SE_18770429	I didn’t have a choice.	-	-
1213  common_voice_sv-SE_18770429	I didn’t have a choice.	250	What do you know that?
1213  common_voice_sv-SE_18770429	I didn’t have a choice.	50	I I an’the toure the the the athe the the athe the athe athere the be the therere the thathe the be be the bere athe bathe bererere bererererere thererere berere.
1213  common_voice_sv-SE_18770429	I didn’t have a choice.	1250	Do not leave us in the dark.
1213  common_voice_sv-SE_18770429	I didn’t have a choice.	750	You know the president is coming?
1213  common_voice_sv-SE_18770429	I didn’t have a choice.	1000	Not that you would turn on.
1213  common_voice_sv-SE_18770429	I didn’t have a choice.	500	What are you going to do now?
703  common_voice_sv-SE_19758216	It was grandpas.	-	-
703  common_voice_sv-SE_19758216	It was grandpas.	250	What are you going?
703  common_voice_sv-SE_19758216	It was grandpas.	50	I I an’t the toure the the.
703  common_voice_sv-SE_19758216	It was grandpas.	1250	It’s not fair!
703  common_voice_sv-SE_19758216	It was grandpas.	750	It’s nothing.
703  common_voice_sv-SE_19758216	It was grandpas.	1000	Are you like that?
703  common_voice_sv-SE_19758216	It was grandpas.	500	What are you going?
1593  common_voice_sv-SE_18858805	I hit a guy with a water can!	-	-
1593  common_voice_sv-SE_18858805	I hit a guy with a water can!	250	Why do you know that?
1593  common_voice_sv-SE_18858805	I hit a guy with a water can!	50	You an’the the the the the the the the the athe the the there the.
1593  common_voice_sv-SE_18858805	I hit a guy with a water can!	1250	The ground is too wet this year.
1593  common_voice_sv-SE_18858805	I hit a guy with a water can!	750	Why don’t you check out backstage?
1593  common_voice_sv-SE_18858805	I hit a guy with a water can!	1000	When I was little I knew a girl.
1593  common_voice_sv-SE_18858805	I hit a guy with a water can!	500	I don’t want to start your family.
1510  common_voice_sv-SE_18847708	It is up to you.	-	-
1510  common_voice_sv-SE_18847708	It is up to you.	250	What are you going?
1510  common_voice_sv-SE_18847708	It is up to you.	50	I I an’the the the the the.
1510  common_voice_sv-SE_18847708	It is up to you.	1250	Why don’t you just take it?
1510  common_voice_sv-SE_18847708	It is up to you.	750	I will do not know.
1510  common_voice_sv-SE_18847708	It is up to you.	1000	You don’t need to insist.
1510  common_voice_sv-SE_18847708	It is up to you.	500	What are you doing?
1001  common_voice_sv-SE_18853079	Let’s order dessert.	-	-
1001  common_voice_sv-SE_18853079	Let’s order dessert.	250	What do you know that?
1001  common_voice_sv-SE_18853079	Let’s order dessert.	50	I I an’the the the the the the the the the.
1001  common_voice_sv-SE_18853079	Let’s order dessert.	1250	But there was an every problem.
1001  common_voice_sv-SE_18853079	Let’s order dessert.	750	But you are not getting a second?
1001  common_voice_sv-SE_18853079	Let’s order dessert.	1000	But still, I did not walk away empt.
1001  common_voice_sv-SE_18853079	Let’s order dessert.	500	What are you going to do now?
37  common_voice_sv-SE_19878008	But how do we find it?	-	-
37  common_voice_sv-SE_19878008	But how do we find it?	250	What are you going?
37  common_voice_sv-SE_19878008	But how do we find it?	50	I I an’the the the the the the athe the the.
37  common_voice_sv-SE_19878008	But how do we find it?	1250	I am not a more thing.
37  common_voice_sv-SE_19878008	But how do we find it?	750	Is that really it?
37  common_voice_sv-SE_19878008	But how do we find it?	1000	I don’t want that!
37  common_voice_sv-SE_19878008	But how do we find it?	500	What are you going?
606  common_voice_sv-SE_19354342	Thanks mother fucker	-	-
606  common_voice_sv-SE_19354342	Thanks mother fucker	250	What are you going?
606  common_voice_sv-SE_19354342	Thanks mother fucker	50	I I an’the the the the the.
606  common_voice_sv-SE_19354342	Thanks mother fucker	1250	It’s not fair!
606  common_voice_sv-SE_19354342	Thanks mother fucker	750	It is not possible.
606  common_voice_sv-SE_19354342	Thanks mother fucker	1000	It is so awkward.
606  common_voice_sv-SE_19354342	Thanks mother fucker	500	What are you doing?
938  common_voice_sv-SE_19932446	I’m bothering you.	-	-
938  common_voice_sv-SE_19932446	I’m bothering you.	250	What are you going?
938  common_voice_sv-SE_19932446	I’m bothering you.	50	I I an’the tous the the the the the the the.
938  common_voice_sv-SE_19932446	I’m bothering you.	1250	It’s not day.
938  common_voice_sv-SE_19932446	I’m bothering you.	750	It’s nothing.
938  common_voice_sv-SE_19932446	I’m bothering you.	1000	Did you hear that?
938  common_voice_sv-SE_19932446	I’m bothering you.	500	What are you doing?
585  common_voice_sv-SE_19354301	What happened?	-	-
