config	id	target_txt	prediction
min = -5.0 - max = 5.0 - p = 0.2	pert_min_-5.0_max_5.0_p_0.2_c2917c1b-e4a8-495d...	wenn wir das berner mittelland anschauen stellen wir fest dass die urbanen räume wie riegel in der landschaft stehen	wenn wir das berner mittelland anschauen stellen wir fest dass die urbanen räume wie riegeln in der landschaft stehen
min = -5.0 - max = 50.0 - p = 0.8	pert_min_-5.0_max_50.0_p_0.8_c2917c1b-e4a8-495...	wenn wir das berner mittelland anschauen stellen wir fest dass die urbanen räume wie riegel in der landschaft stehen	wenn wir das tellmittelland anschauen stellen wir fest dass die turbalen räume wie riegeln in der landschaft stehen
min = -15.0 - max = 15.0 - p = 0.2	pert_min_-15.0_max_15.0_p_0.2_2cd735e7-9390-41...	dort bewegen sich sehr viele jugendliche	dort bewegen sich sehr viele jugendliche
min = -50.0 - max = 50.0 - p = 0.8	pert_min_-50.0_max_50.0_p_0.8_2cd735e7-9390-41...	dort bewegen sich sehr viele jugendliche	dort berechnet sich für die jugendliche
min = -5.0 - max = 5.0 - p = 0.8	pert_min_-5.0_max_5.0_p_0.8_2cd735e7-9390-415e...	dort bewegen sich sehr viele jugendliche	dort bewegen sich sehr viele jugendliche
min = -5.0 - max = 15.0 - p = 0.2	pert_min_-5.0_max_15.0_p_0.2_2cd735e7-9390-415...	dort bewegen sich sehr viele jugendliche	dort bewegen sich sehr viele jugendliche
min = -50.0 - max = 15.0 - p = 0.8	pert_min_-50.0_max_15.0_p_0.8_2cd735e7-9390-41...	dort bewegen sich sehr viele jugendliche	das ist eine freie jugendliche
min = -15.0 - max = 15.0 - p = 0.5	pert_min_-15.0_max_15.0_p_0.5_2cd735e7-9390-41...	dort bewegen sich sehr viele jugendliche	dort bewegen sie sehr vielen jugendlichen
min = -5.0 - max = 50.0 - p = 0.8	pert_min_-5.0_max_50.0_p_0.8_2cd735e7-9390-415...	dort bewegen sich sehr viele jugendliche	dort werden sie wie sehr wichtig eingelegt
min = -50.0 - max = 15.0 - p = 0.2	pert_min_-50.0_max_15.0_p_0.2_2cd735e7-9390-41...	dort bewegen sich sehr viele jugendliche	es gibt einen sehr vielen jugendlichen
min = -50.0 - max = 15.0 - p = 0.5	pert_min_-50.0_max_15.0_p_0.5_2cd735e7-9390-41...	dort bewegen sich sehr viele jugendliche	dort erhöht sich sehr viele jugendliche
