,config,id,target_txt,prediction
60,min = -15.0 - max = 15.0 - p = 0.2,pert_min_-15.0_max_15.0_p_0.2_35ac16b9-928a-43...,als ich mich mit dem thema zaunanlage st johannsen auseinandersetzte tauchte ich in ganz andere dimensionen ein was umzäunungen und vor allem auch kosten betrifft,als ich mich mit dem thema zaunanlage st johannsen auseinandersetzte tauchte ich in ganz andere dimensionen ein was umzäunung und vor allem auch kosten betrifft
2,min = -15.0 - max = 15.0 - p = 0.2,pert_min_-15.0_max_15.0_p_0.2_2cd735e7-9390-41...,dort bewegen sich sehr viele jugendliche,dort bewegen sich sehr viele jugendliche
82,min = -15.0 - max = 15.0 - p = 0.2,pert_min_-15.0_max_15.0_p_0.2_c2917c1b-e4a8-49...,wenn wir das berner mittelland anschauen stellen wir fest dass die urbanen räume wie riegel in der landschaft stehen,wenn wir das berner mittelland anschauen stellen wir fest dass die urbanen räume weiter riegeln in der landschaft stehen
40,min = -15.0 - max = 15.0 - p = 0.2,pert_min_-15.0_max_15.0_p_0.2_b842e6ab-90eb-41...,wir kommen zur abstimmung,wir kommen zur abstimmung
114,min = -15.0 - max = 15.0 - p = 0.2,pert_min_-15.0_max_15.0_p_0.2_e1f2c597-43ea-40...,meiner meinung nach ist das ganz ein schlechter ratschlag denn ich bin der meinung wir müssen uns bewusst sein es gibt nur ein miteinander und nicht ein gegeneinander bauern bäuerinnen und die konsumentinnen und konsumenten,meiner meinung nach ist das ganze schlechte ratschlag weil ich bin der meinung man müsse uns bewusst sein es gibt nur ein miteinander und kein gegeneinander die bauernbäuerinnen und konsumenten und konsumenten
78,min = -15.0 - max = 15.0 - p = 0.5,pert_min_-15.0_max_15.0_p_0.5_35ac16b9-928a-43...,als ich mich mit dem thema zaunanlage st johannsen auseinandersetzte tauchte ich in ganz andere dimensionen ein was umzäunungen und vor allem auch kosten betrifft,als ich mich mit diesem thema zugang st johannsen auseinandersetzte tauchte ich eine ganz andere dimension ein als umzäunung und vor allem auch kosten betrifft
91,min = -15.0 - max = 15.0 - p = 0.5,pert_min_-15.0_max_15.0_p_0.5_c2917c1b-e4a8-49...,wenn wir das berner mittelland anschauen stellen wir fest dass die urbanen räume wie riegel in der landschaft stehen,wenn wir das berner mittelland anschauen stellen wir fest dass die urbanen räume weitereigeln in der landschaft stehen
31,min = -15.0 - max = 15.0 - p = 0.5,pert_min_-15.0_max_15.0_p_0.5_b842e6ab-90eb-41...,wir kommen zur abstimmung,wir kommen zur abstimmung
134,min = -15.0 - max = 15.0 - p = 0.5,pert_min_-15.0_max_15.0_p_0.5_e1f2c597-43ea-40...,meiner meinung nach ist das ganz ein schlechter ratschlag denn ich bin der meinung wir müssen uns bewusst sein es gibt nur ein miteinander und nicht ein gegeneinander bauern bäuerinnen und die konsumentinnen und konsumenten,meiner meinung nach ist dies ein ganz schlechter ratschlag weil ich bin der meinung man müsse uns bewusst sein es gebe nur ein miteinander und kein gegeneinander bauernbäuerinnen und konsumenten und konsumenten
7,min = -15.0 - max = 15.0 - p = 0.5,pert_min_-15.0_max_15.0_p_0.5_2cd735e7-9390-41...,dort bewegen sich sehr viele jugendliche,dort bewegen sie sehr vielen jugendlichen
56,min = -15.0 - max = 15.0 - p = 0.8,pert_min_-15.0_max_15.0_p_0.8_35ac16b9-928a-43...,als ich mich mit dem thema zaunanlage st johannsen auseinandersetzte tauchte ich in ganz andere dimensionen ein was umzäunungen und vor allem auch kosten betrifft,als ich mich mit diesem thema zaunanlage st johannsen als eine andere dimension eintauchte was umzäunung und vor allem auch kosten betrifft
80,min = -15.0 - max = 15.0 - p = 0.8,pert_min_-15.0_max_15.0_p_0.8_c2917c1b-e4a8-49...,wenn wir das berner mittelland anschauen stellen wir fest dass die urbanen räume wie riegel in der landschaft stehen,wenn wir das baldmittelland anschauen stellen wir fest dass die urbanen räume wie riegeln in der landschaft stehen
37,min = -15.0 - max = 15.0 - p = 0.8,pert_min_-15.0_max_15.0_p_0.8_b842e6ab-90eb-41...,wir kommen zur abstimmung,wir kommen zur abstimmung
21,min = -15.0 - max = 15.0 - p = 0.8,pert_min_-15.0_max_15.0_p_0.8_2cd735e7-9390-41...,dort bewegen sich sehr viele jugendliche,ja bereiten sich sehr viele jugendliche
111,min = -15.0 - max = 15.0 - p = 0.8,pert_min_-15.0_max_15.0_p_0.8_e1f2c597-43ea-40...,meiner meinung nach ist das ganz ein schlechter ratschlag denn ich bin der meinung wir müssen uns bewusst sein es gibt nur ein miteinander und nicht ein gegeneinander bauern bäuerinnen und die konsumentinnen und konsumenten,meiner meinung nach ist das ganze schlechte ratschlag weil ich bin der meinung man müsse uns bewusst sein es gebe nur ein mittel und kein gegeneinander bauernbäuerinnen und konsumenten
123,min = -15.0 - max = 5.0 - p = 0.2,pert_min_-15.0_max_5.0_p_0.2_e1f2c597-43ea-409...,meiner meinung nach ist das ganz ein schlechter ratschlag denn ich bin der meinung wir müssen uns bewusst sein es gibt nur ein miteinander und nicht ein gegeneinander bauern bäuerinnen und die konsumentinnen und konsumenten,meiner meinung nach ist das ganze schlechte ratschlag weil ich bin der meinung man müsse uns bewusst sein es gebe nur ein miteinander und kein gegeneinander bauern bäuerinnen und konsumenten und konsumenten
124,min = -15.0 - max = 5.0 - p = 0.2,pert_min_-15.0_max_5.0_p_0.2_35ac16b9-928a-43c...,als ich mich mit dem thema zaunanlage st johannsen auseinandersetzte tauchte ich in ganz andere dimensionen ein was umzäunungen und vor allem auch kosten betrifft,als ich mich mit dem thema zaunanlage st johannsen auseinandersetzte tauchte ich eine ganz andere dimension weit und vor allem auch kosten betrifft
86,min = -15.0 - max = 5.0 - p = 0.2,pert_min_-15.0_max_5.0_p_0.2_c2917c1b-e4a8-495...,wenn wir das berner mittelland anschauen stellen wir fest dass die urbanen räume wie riegel in der landschaft stehen,wenn wir das berner mittelland anschauen stellen wir fest dass die urbanen räume wie riegeln in der landschaft stehen
26,min = -15.0 - max = 5.0 - p = 0.2,pert_min_-15.0_max_5.0_p_0.2_2cd735e7-9390-415...,dort bewegen sich sehr viele jugendliche,darber legen sich sehr viele ungültige
46,min = -15.0 - max = 5.0 - p = 0.2,pert_min_-15.0_max_5.0_p_0.2_b842e6ab-90eb-411...,wir kommen zur abstimmung,wir kommen zur abstimmung
28,min = -15.0 - max = 5.0 - p = 0.5,pert_min_-15.0_max_5.0_p_0.5_2cd735e7-9390-415...,dort bewegen sich sehr viele jugendliche,dort bereits sehr viele jugendliche
126,min = -15.0 - max = 5.0 - p = 0.5,pert_min_-15.0_max_5.0_p_0.5_35ac16b9-928a-43c...,als ich mich mit dem thema zaunanlage st johannsen auseinandersetzte tauchte ich in ganz andere dimensionen ein was umzäunungen und vor allem auch kosten betrifft,als ich mich mit dem thema zaunanlage st johannsen auseinandersetzte tauchte ich in ganz andere dimensionen ein was umzäunung und vor allem auch kosten betrifft
133,min = -15.0 - max = 5.0 - p = 0.5,pert_min_-15.0_max_5.0_p_0.5_e1f2c597-43ea-409...,meiner meinung nach ist das ganz ein schlechter ratschlag denn ich bin der meinung wir müssen uns bewusst sein es gibt nur ein miteinander und nicht ein gegeneinander bauern bäuerinnen und die konsumentinnen und konsumenten,meiner meinung nach ist dies ein ganz schlechter ratschlag und ich bin der meinung man müsse uns bewusst sein es gebe nur ein miteinander und kein gegeneinander die bauern bäuerinnen und konsumenten und die konsumenten
43,min = -15.0 - max = 5.0 - p = 0.5,pert_min_-15.0_max_5.0_p_0.5_b842e6ab-90eb-411...,wir kommen zur abstimmung,wir kommen zur abstimmung
