counts	word
215	die
198	das
174	den
169	der
157	es
147	und
138	in
132	auch
113	ist
110	dass
95	wir
94	ein
92	dies
89	sind
88	diese
85	eine
84	sie
72	dann
72	von
71	im
71	hat
71	aber
70	haben
68	ich
65	dem
58	für
58	zu
55	hier
55	dieser
53	man
51	einen
50	noch
49	diesem
47	bei
46	mit
45	diesen
40	nicht
39	an
38	wie
37	da
35	werden
35	so
35	er
34	des
34	auf
33	jetzt
33	zum
32	deshalb
32	dieses
32	eben
32	um
32	dort
31	als
30	also
30	sein
30	wird
29	ja
27	einfach
26	welche
26	wenn
26	etwas
25	schon
24	habe
24	soll
23	einer
23	über
23	zur
22	oder
22	machen
21	aus
21	wenig
20	einem
20	will
20	mehr
19	können
19	wurde
19	was
19	wollen
18	wo
18	sich
17	einmal
17	wieder
17	vom
16	weil
16	wäre
16	würde
16	eigentlich
16	am
16	müssen
15	ganz
14	gibt
14	punkt
14	vor
14	sollen
14	kann
14	vielleicht
13	bereits
13	damit
13	jahre
13	beim
13	könnte
13	sehr
13	doch
13	gerade
13	keine
13	sagen
12	kanton
12	sei
12	gesagt
12	regierungsrates
12	alle
12	dazu
12	uns
12	sollte
11	mich
11	selbst
11	würden
11	denn
11	tun
11	welches
11	nach
11	ziffer
11	selber
11	anderen
10	unter
10	1
10	geht
10	sinn
10	durch
10	genau
10	ihnen
10	bis
10	worden
10	bern
10	gehen
10	müsste
10	ab
10	nämlich
10	wurden
10	allen
10	bisschen
9	gemacht
9	zeit
9	solchen
9	unsere
9	kommt
9	solche
9	kommen
9	nur
9	muss
9	möchte
8	diejenigen
8	natürlich
8	war
8	beispielsweise
8	rat
8	weshalb
8	jeden
8	wohl
8	daher
8	sehen
8	mir
8	beispiel
8	fraktion
8	3
8	gar
8	bin
8	gleiche
8	keinen
8	berner
7	unserer
7	teil
7	dafür
7	darauf
7	jene
7	ihrer
7	nachher
7	macht
7	jahr
7	neuen
7	viel
7	arbeiten
7	ins
7	ihren
7	kantons
7	drei
7	sagt
7	andere
7	sinne
6	lassen
6	hätte
6	darum
6	weiss
6	daran
6	drin
6	lange
6	sprechen
6	bdp
6	motion
6	gerne
6	weiter
6	weiteren
6	grund
6	braucht
6	heisst
6	wirklich
6	halt
6	meinen
6	grosse
6	geben
6	waren
6	zwei
6	nötig
6	ob
5	schlussendlich
5	ganze
5	weg
5	gegeben
5	nun
5	damals
5	hatten
5	darüber
5	frau
5	weiterer
5	könnten
5	leute
5	davon
5	annehmen
5	paar
5	statt
5	ihre
5	bisher
5	allein
5	seit
5	erhalten
5	sieht
5	bringen
5	regierung
5	geschieht
5	fdp
5	gemeinde
5	finden
5	manchmal
5	besteht
5	wichtig
5	verschiedenen
5	seien
5	kurz
5	fest
5	besten
5	entsprechend
5	gehört
5	lehnen
5	schauen
5	sicht
5	kommission
4	tut
4	lehnt
4	gesetzt
4	herr
4	geführt
4	kollegen
4	aller
4	beiden
4	gleich
4	kein
4	kolleginnen
4	000
4	nehmen
4	hinter
4	universität
4	gemeinden
4	tag
4	sage
4	vier
4	trotzdem
4	wer
4	gleichen
4	neu
4	möchten
4	eines
4	du
4	unterstützen
4	führt
4	komme
4	werde
4	nächsten
4	gekommen
4	regierungsrat
4	eins
4	sondern
4	hatte
4	durchgeführt
4	grossen
4	einige
4	erwähnt
4	bundes
4	rechte
4	regionen
4	gesehen
4	könne
4	vorhin
4	prozent
4	artikel
4	zuerst
4	ersten
4	nichts
4	frage
4	indem
4	bitte
4	dank
4	glaube
4	chancen
4	zwischen
4	svp
4	irgendwo
4	letzten
4	sollten
4	sachen
4	teile
4	energieberatungsstelle
4	heute
4	vielen
4	regelt
4	chance
4	100
4	unseren
4	ihr
4	zuzustimmen
4	wahrscheinlich
3	beide
3	tiefen
3	offen
3	weniger
3	wichtige
3	bereich
3	herren
3	zudem
3	stimmen
3	wenige
3	januar
3	bdpfraktion
3	mindestens
3	schulen
3	steht
3	anliegen
3	dadurch
3	klar
3	allem
3	beratung
3	gestaltet
3	immer
3	angestellte
3	fall
3	möglichen
3	erhält
3	somit
3	sache
3	soweit
3	ablehnen
3	etwa
3	20
3	wahrengründe
3	viele
3	daten
3	neue
3	anderer
3	halte
3	herausbeziehungen
3	gebraucht
3	fahrreiterrolle
3	wert
3	franken
3	jeder
3	namen
3	18
3	hingegen
3	konnten
3	unabhängig
3	nimmt
3	sp
3	zustimmen
3	ging
3	durchaus
3	sogar
