BLEU,WER,diff_ref_hyp,nr_1,diff_hyp_ref,nr_2,reference,hypothese,id
1.0,0.0,,0,,0,das gesetz hat sich grundsätzlich sehr bewährt,das gesetz hat sich grundsätzlich sehr bewährt,3234  2d2cf078-f7ba-4649-abbe-71b295992bd1
1.0,0.0,,0,,0,die fdp wird aber den objektkredit genehmigen,die fdp wird aber den objektkredit genehmigen,1042  43931dbd-2a4b-45d1-ad9f-7b1a055cdda2
1.0,0.0,,0,,0,ich bitte sie ganz klar dieses postulat abzulehnen,ich bitte sie ganz klar dieses postulat abzulehnen,2203  259cdc9b-bab0-455a-a6d4-b7efbdcb7352
1.0,0.0,,0,,0,grundsätzlich ist natürlich auch die fdp dafür dass man aufgaben überprüft,grundsätzlich ist natürlich auch die fdp dafür dass man aufgaben überprüft,554  e9abc18d-d201-4548-8a9a-2729514f021a
1.0,0.0,,0,,0,die ersten fünf bis sieben jahre bezahlt der bund,die ersten fünf bis sieben jahre bezahlt der bund,2798  b5055c64-7154-4bb9-87d1-c287e1a027fb
1.0,0.0,,0,,0,wir danken dem regierungsrat für diesen bericht und nehmen ihn zur kenntnis,wir danken dem regierungsrat für diesen bericht und nehmen ihn zur kenntnis,1170  2e59c943-621a-4fdb-b3ae-aabaae8715e1
1.0,0.0,,0,,0,mit einem entwurf ist ende 2020 zu rechnen,mit einem entwurf ist ende 2020 zu rechnen,3145  bd1c7637-e216-474d-ab85-26800818dde9
1.0,0.0,,0,,0,es braucht investitionen um das angestrebte ziel zu erreichen,es braucht investitionen um das angestrebte ziel zu erreichen,123  7b477d97-93dc-4f17-a89d-3ec31092adea
1.0,0.0,,0,,0,der kanton bern schafft sicher gute rahmenbedingungen für arbeit,der kanton bern schafft sicher gute rahmenbedingungen für arbeit,2899  3a8287e3-6d88-41dc-b01a-ade3e6ff1ef9
1.0,0.0,,0,,0,es sind explizit die öffentlichen spitexorganisationen,es sind explizit die öffentlichen spitexorganisationen,2604  b82a3ec1-980c-4b50-a2fa-f915be4c2df4
1.0,0.0,,0,,0,die edu ist plötzlich viel progressiver als die sp,die edu ist plötzlich viel progressiver als die sp,1494  ec5c3bc6-df18-4b10-9ccb-2e5abf6e5208
1.0,0.0,,0,,0,die überweisung von vorträgen und weiteren geschäften funktioniert gut,die überweisung von vorträgen und weiteren geschäften funktioniert gut,1061  ea6c142e-9819-43a9-9e6d-29e4076efb53
1.0,0.0,,0,,0,die edufraktion stimmt einem postulat zu,die edufraktion stimmt einem postulat zu,3327  347f133b-f8f1-46a5-935c-7c9271339b54
1.0,0.0,,0,,0,die motion unseres ehemaligen grossratskollegen,die motion unseres ehemaligen grossratskollegen,1559  fd13c208-6d50-4aa6-8480-1887d2254937
1.0,0.0,,0,,0,ich gebe zuerst meine interessenbindung bekannt,ich gebe zuerst meine interessenbindung bekannt,2420  b842c267-7786-4ae1-93ef-a84ea2028966
1.0,0.0,,0,,0,die situation ist schwierig und im moment blockiert,die situation ist schwierig und im moment blockiert,2105  fa34ed71-06f6-4416-8366-442d23babe87
1.0,0.0,,0,,0,die ziffern 3 und 4 sind für die svp selbstverständlich,die ziffern 3 und 4 sind für die svp selbstverständlich,1664  9ead3a12-d531-4fcb-aa0f-591a8ac4849c
1.0,0.0,,0,,0,sachlich hätte die idee des regierungsrates absolut sinn gemacht,sachlich hätte die idee des regierungsrates absolut sinn gemacht,2863  90adee05-ec70-4ea1-8b50-49e428edbd4c
1.0,0.0,,0,,0,die bdp unterstützt den regierungsrat einstimmig,die bdp unterstützt den regierungsrat einstimmig,142  bff362b4-4d89-4e4f-b11d-13b40af273e2
1.0,0.0,,0,,0,die fdp lehnt dieses postulat einstimmig ab,die fdp lehnt dieses postulat einstimmig ab,1987  4e17d9b7-5ec2-4559-aca0-cd8ccca0a80b
1.0,0.0,,0,,0,offensichtlich sind diese massnahmen auch erfolgreich,offensichtlich sind diese massnahmen auch erfolgreich,1604  2245a632-f4a0-410c-998c-845544e9a66c
1.0,0.0,,0,,0,es geht aus unserer sicht im wesentlichen um zwei anliegen,es geht aus unserer sicht im wesentlichen um zwei anliegen,1336  fc0a7349-3755-4b1c-95be-13f84b20a4ab
1.0,0.0,,0,,0,kurz wir wollen schrittweise reformen,kurz wir wollen schrittweise reformen,2760  d8d0cb2e-5282-4e45-89c9-7e4915774a65
1.0,0.0,,0,,0,der regierungsrat soll beim bund vorstellig werden,der regierungsrat soll beim bund vorstellig werden,487  6ca81f72-574a-4899-a442-d981dd3a08ca
1.0,0.0,,0,,0,die edufraktion wird sich der stimme enthalten,die edufraktion wird sich der stimme enthalten,3014  538e24e2-81fe-4d00-b0d5-66dbfba41895
1.0,0.0,,0,,0,die edufraktion stimmt der gesetzesänderung zu,die edufraktion stimmt der gesetzesänderung zu,3032  f2246678-0109-41a4-bc16-d98c131dc804
1.0,0.0,,0,,0,deshalb stimmt die mehrheit der fraktion diesem antrag zu,deshalb stimmt die mehrheit der fraktion diesem antrag zu,2783  23e536f0-b894-4529-83be-4f8529ac96d2
1.0,0.0,,0,,0,dazu gehören auch aber nicht nur die lehrkräfte,dazu gehören auch aber nicht nur die lehrkräfte,1382  2a571abc-7a2f-4a78-a1e0-3d45d513dfe9
1.0,0.0,,0,,0,es geht hier um eine mitentscheidungspflicht,es geht hier um eine mitentscheidungspflicht,1087  dfea6b20-32b6-41bf-89b2-5a930d7db86b
1.0,0.0,,0,,0,ambulant vor stationär wird gesamtschweizerisch eingeführt,ambulant vor stationär wird gesamtschweizerisch eingeführt,772  2207ece2-b9dc-4efa-a016-4b40508ef5e2
1.0,0.0,,0,,0,massnahmen und geschäfte sollen prioritär behandelt werden,massnahmen und geschäfte sollen prioritär behandelt werden,2933  9e461a24-7308-4376-9a7e-b34c9c15f911
1.0,0.0,,0,,0,wer möchte schon eine sogenannte quotenfrau sein,wer möchte schon eine sogenannte quotenfrau sein,226  9dc31ef3-3d24-4b70-8a1e-2c390140f030
1.0,0.0,,0,,0,so schnell dass es gar nicht mehr zu solchen ausnahmefällen kommen sollte,so schnell dass es gar nicht mehr zu solchen ausnahmefällen kommen sollte,3107  97f0eb8c-f6f0-4e9b-8dbf-8d02c2e29617
1.0,0.0,,0,,0,sie unterstützt auch die planungserklärungen 1 und 2,sie unterstützt auch die planungserklärungen 1 und 2,401  1cc8643a-ab4a-4b58-8b30-9094f1d5e7d4
1.0,0.0,,0,,0,deshalb lehnt die bdpfraktion diesen antrag ab,deshalb lehnt die bdpfraktion diesen antrag ab,620  cb2e56b8-4f71-4f7d-a66d-18accb290cbd
1.0,0.0,,0,,0,es freut mich dass die regierung jetzt positiv hinter dieser motion steht,es freut mich dass die regierung jetzt positiv hinter dieser motion steht,1141  01562481-d272-4afd-8b50-cf6dfadb5e9d
1.0,0.0,,0,,0,jedoch wollen wir zwischennutzungen anstreben,jedoch wollen wir zwischennutzungen anstreben,1068  cce48497-c7a7-4c1f-a2d0-63af74784639
1.0,0.0,,0,,0,diese massnahmen sind gut richtig und zielführend,diese massnahmen sind gut richtig und zielführend,2778  47c5f43d-f058-4aed-ae04-86ca5df283f4
1.0,0.0,,0,,0,deshalb unterstützen wir punkt 1 als postulat,deshalb unterstützen wir punkt 1 als postulat,1542  555a811b-7b7d-4e27-933a-3a8056ccf1e4
1.0,0.0,,0,,0,ich bitte sie diese motion ganz klar anzunehmen,ich bitte sie diese motion ganz klar anzunehmen,2079  6c4ed2a9-330b-437c-80d7-6259a2d9c210
1.0,0.0,,0,,0,die edufraktion will keine lockerung der bisherigen praxis,die edufraktion will keine lockerung der bisherigen praxis,341  5f12e53e-b3e4-4c3f-8000-ce9731513971
1.0,0.0,,0,,0,wir unterstützen auch alle vier planungserklärungen,wir unterstützen auch alle vier planungserklärungen,1573  d8b6ebf7-723d-4ab4-bbe9-eb9805e21945
1.0,0.0,,0,,0,qualitätsmedien sind mehr als nur ein gewöhnliches wirtschaftsgut,qualitätsmedien sind mehr als nur ein gewöhnliches wirtschaftsgut,1352  b2a642e5-de20-4d20-902a-afca00895a92
