id	target_txt	prediction
5741  45805a6c-b53c-4dd7-9f4a-6ef91d640f28.flac	ich bin der target text	das halte ich für sinnvoll
1639  39ea3e75-775f-4cbe-85c3-4d346165ec90.flac	ich bin der target text	ausserdem schafft sie als haltorium und referendum
1458  e3f9c43f-771b-48d2-b7d1-5594186a6caf.flac	ich bin der target text	carludibachmer hat in trieb urgelebt
2253  690bf5f1-23d5-4d9e-9520-32619c326f25.flac	ich bin der target text	wir stimmen zu den abänderungsanträgen das wort
697  035aa649-4e6f-4033-9612-341c32d786cf.flac	ich bin der target text	vor dem nars hat es einen weg keine verwindung
2056  b1f6ccc8-7e68-4979-b176-1cb5d077225a.flac	ich bin der target text	zwischen der normalen wahlleute familienkauf
4288  0ca4fc30-96a8-4ddc-bd4f-df214af885d9.flac	ich bin der target text	der gemeinsame standpunkt bietet eine raufenantwort
3963  2b29a13d-d953-4c7a-95c9-674b588460a7.flac	ich bin der target text	ein viertel dieser zeit ist begehrlich vergangen
3712  b4717311-34a9-4ad1-9678-4efb661c7350.flac	ich bin der target text	das problem ist obwohl es sich dann unter anderem nicht das gute ablehnen
4439  d9f2ee12-5734-45aa-8a0f-e55809938119.flac	ich bin der target text	dort haben wir christoph neuhaus zur politik
4522  e553505f-23a0-49b8-9dc6-cd35f6fb337d.flac	ich bin der target text	die sabinstitute ist eine gemeinnützige verein
1672  a0c8f8ce-723c-4a25-86a2-ba653c1f07dd.flac	ich bin der target text	ich frühte die finanzierung von mikroprojektischer lösung
1376  3a604fa9-3e07-4ed0-af8b-903ee92e009a.flac	ich bin der target text	es liegen um ein liegen zur dynam oder erst dann
2777  af50c270-27b7-47d8-aea5-35ab94ccf74a.flac	ich bin der target text	weshalb mit dieser fonds und in diesen 10 metern
4389  916ec3c9-026d-4216-910a-4453ddb38470.flac	ich bin der target text	alle sind mit der natenbereit angelangt
3012  d52da33c-2bce-4bb6-ab7d-66cd5451d561.flac	ich bin der target text	der kanton aargau ist von christen gebracht
