id	target_txt	prediction
5741  45805a6c-b53c-4dd7-9f4a-6ef91d640f28.flac	ich bin der target text	denn das hält ihr für sinnvoll
1639  39ea3e75-775f-4cbe-85c3-4d346165ec90.flac	ich bin der target text	ausser dem schutzorganisatorien und rechtlicherweise
1458  e3f9c43f-771b-48d2-b7d1-5594186a6caf.flac	ich bin der target text	die carloutin bachmark hat im tiefer ruhe gelebt
2253  690bf5f1-23d5-4d9e-9520-32619c326f25.flac	ich bin der target text	wir stehen nun zu den regierungsrätinnen und rollen
697  035aa649-4e6f-4033-9612-341c32d786cf.flac	ich bin der target text	die formulierung hat zwei werke verfügung
2056  b1f6ccc8-7e68-4979-b176-1cb5d077225a.flac	ich bin der target text	sonst handelt es sich um eine wahl weniger öffnung
4288  0ca4fc30-96a8-4ddc-bd4f-df214af885d9.flac	ich bin der target text	gemeinsame standpunkt bietet dieser aufeinanderwort
3963  2b29a13d-d953-4c7a-95c9-674b588460a7.flac	ich bin der target text	die entscheidenden der geziet waren begrenzt vergangen
3712  b4717311-34a9-4ad1-9678-4efb661c7350.flac	ich bin der target text	das ertrennen das organisiert ist langer und nicht die swissskills
4439  d9f2ee12-5734-45aa-8a0f-e55809938119.flac	ich bin der target text	dort haben wir einen christoph ausserpolitik
4522  e553505f-23a0-49b8-9dc6-cd35f6fb337d.flac	ich bin der target text	die fachinstitute ist ein gemeinnütziger verein
1672  a0c8f8ce-723c-4a25-86a2-ba653c1f07dd.flac	ich bin der target text	die finanzierung des mikroprojekts ist eine lösung
1376  3a604fa9-3e07-4ed0-af8b-903ee92e009a.flac	ich bin der target text	die bak führte das postulat an der ersten lesung
2777  af50c270-27b7-47d8-aea5-35ab94ccf74a.flac	ich bin der target text	weshalb bei dieser form und in diesen zusammenhängen
4389  916ec3c9-026d-4216-910a-4453ddb38470.flac	ich bin der target text	alle sind mit natürlichen debatten einig
3012  d52da33c-2bce-4bb6-ab7d-66cd5451d561.flac	ich bin der target text	der kantonale angau ist von christen geprägt
143  65410270-028c-46fd-88de-a5c5caef0df2.flac	ich bin der target text	das kland ist schon im preis inbegriffen worden
5509  3f3668d8-4f9d-425f-985e-b7f1f5f2b3f2.flac	ich bin der target text	sie haben herrn korpsaholz abgesetzt
963  350d7a7d-1403-4246-b880-a6960c8bb1a1.flac	ich bin der target text	jederfalls aber verzichten wir juristen
2617  34e25afb-3ac1-4e91-b9f6-61907ddf99ee.flac	ich bin der target text	der bevölkerung ist um komplegieren oder konnte man losen
3762  56e3afd8-43df-407f-969b-f78dc9942d5f.flac	ich bin der target text	weiter ist der kanton in einem postulat erkannt
3696  507a6278-f4ee-4f51-8553-88e4c6964dc0.flac	ich bin der target text	halten wir viele ausgeglichene arbeit aus
1778  3145c757-937e-40d1-a0a2-ff079b7cc678.flac	ich bin der target text	aber auch so dass wir mit älteren stein verblendet haben
779  25350e36-6b91-4a22-8019-c474032532fd.flac	ich bin der target text	die volksschule ist seit fahrgasse zahlen deutlich gestiegen
3308  3089dd69-c016-42f4-92cf-142e8fd12b13.flac	ich bin der target text	die glp kunstschein bei der bdp kommen von einzelnen zur debatte
2981  d828562c-deba-4620-bf90-59c010fc9a69.flac	ich bin der target text	sie schreiben zumutbaren engagement
4408  c8519b0d-8227-45fd-aa56-6b8564932f3d.flac	ich bin der target text	aber liebe und kreise gibt es keine geforderten bedingungslücke
249  73127fa1-5361-46b5-a05f-b8503b1bfd23.flac	ich bin der target text	sie möchten sich bleiben bei kolleginnen und kollegen
260  031eae13-4fce-4174-8ed2-9f82b5ab1490.flac	ich bin der target text	sie haben an der sprecherin noch nicht gehört
2822  a2c39846-b7cf-47ca-9947-35b42154c96b.flac	ich bin der target text	wir sind im prinzip gegen viel schönen einkommen
799  7325a984-f60f-43e7-a68c-9b5e259cf144.flac	ich bin der target text	ich wünsche ihnen meinen experimenten klären
3745  86ac1482-20e2-402f-b23a-8e3082b6bf5d.flac	ich bin der target text	aber diesen haben wir bisher nicht vergessen
941  9d52105b-3e8d-4769-b3b4-db730d94ab32.flac	ich bin der target text	deshalb bitte ich sie meine unterschiedlichen zurückzunehmen
463  f90e9520-0b36-483d-a9e3-16f8f1d9a7e3.flac	ich bin der target text	wir haben keinen aussprache für die fraktionen keine sprecher
4460  259ba689-4106-49d7-90f2-7f5cef8f95df.flac	ich bin der target text	wir stellen uns vom eingebäude
853  d3b7934d-5e16-4cfa-a66f-62c6f4da295a.flac	ich bin der target text	die ziffer 4 spiele hat etwas seiner mutter gelernt
27  daf5db3b-2568-4bb3-a4ac-8d671bb1fc43.flac	ich bin der target text	aber es ist macht jemand vorher
2750  f9d9c21a-e544-4a1f-9746-bcc120e29402.flac	ich bin der target text	das haben alle mitglieder eine armenische vorzulegen
3900  ddd40ea3-64e8-47a3-a7cf-d2064962ae39.flac	ich bin der target text	auch das ist wirklich tragisch
5073  459949f0-d0d5-4fee-a263-597c7b091df4.flac	ich bin der target text	das gemeinden meintgemässen stand klar und leute fest
5629  301f80ec-7a9e-4b0c-830b-b0fc3694aeef.flac	ich bin der target text	ich bin überlegt heute keine mischsten wie berline oder esthet
2194  f4253eec-5380-496a-8879-bf0f82f9aed8.flac	ich bin der target text	die verkaufsalleyres wurde gespengert
4438  98f2350c-7974-4b3e-b3d4-82daf883ad5d.flac	ich bin der target text	vielen dank für sie sind heute eher ausnahme
454  572ea97a-59de-4211-b49f-9ea6fbf19ce0.flac	ich bin der target text	dies entspricht auch für politiker
3632  e7256fd7-499b-4afb-9a9a-cd15d3f46d08.flac	ich bin der target text	wir sind mit mehreren unterstützungen
2014  0a4e994d-5a6b-4cc0-b1e4-8d1f729c069a.flac	ich bin der target text	sein alter wird auf 2 mrd franken ja geschätzt
4922  33223f23-f5e1-43fa-9ae1-71181726fc89.flac	ich bin der target text	leben sie ja noch nicht von lendet halt dürfen
5243  1c307352-da29-4211-a0ca-60834de1566e.flac	ich bin der target text	wie ist die mitglieder des heimierargaustosses gewesen
5561  d7f161f7-9ab9-43fa-8f9a-0d040a0c4bf2.flac	ich bin der target text	wenigsteller steuern sind das ergebnis
3200  dde85da1-acbb-4412-8b5a-7d05052a4080.flac	ich bin der target text	beim sportschüssen bestehendes aus dünner tappen
3716  6038df36-7c0e-49ad-b315-7915999e8ad9.flac	ich bin der target text	sie haben ja ich neuenburg eingereicht
410  50dbf69a-2bd2-428b-81b9-529749223cdc.flac	ich bin der target text	ich bin ein paar wohneines verlieren worden
3311  c982865e-46b0-4a34-8bdd-5ed880cc9d57.flac	ich bin der target text	ich nehme an den schuldenbremsen an und halte an
593  a053c97e-9be0-4eb5-8877-af7d0167dfca.flac	ich bin der target text	und das wollen wir unter umständen von ihnen auch nicht handhaben
888  3b09a849-415f-42e6-b34f-2001535aa855.flac	ich bin der target text	jetzt haben wir eigentlich einen kanton nichts
3004  5631c121-8fe9-45c4-b62d-5a94d701c060.flac	ich bin der target text	aber deshalb haben sie keine vorstellungen
3432  5deb4d8a-cd8b-4d11-8073-10d885d360b5.flac	ich bin der target text	sie sprechen von der spjusopsa
