id	target_txt	prediction
45805a6c-b53c-4dd7-9f4a-6ef91d640f28.flac	ich bin der target text	das halte ich für sinnvoll
39ea3e75-775f-4cbe-85c3-4d346165ec90.flac	ich bin der target text	ausserdem schafft sie als halturin und referentin
e3f9c43f-771b-48d2-b7d1-5594186a6caf.flac	ich bin der target text	carlo schnegg hat in trierre rauer gelebt
690bf5f1-23d5-4d9e-9520-32619c326f25.flac	ich bin der target text	wir stammen zu diesem antrag ab
035aa649-4e6f-4033-9612-341c32d786cf.flac	ich bin der target text	vor dem darf gab es einen weg eine verschwierigung
b1f6ccc8-7e68-4979-b176-1cb5d077225a.flac	ich bin der target text	es handelt sich um einen namen waldbeitramilien zu erhalten
0ca4fc30-96a8-4ddc-bd4f-df214af885d9.flac	ich bin der target text	der gemeinsame standpunkt bietet darauf antwort
2b29a13d-d953-4c7a-95c9-674b588460a7.flac	ich bin der target text	ein viertel dieser zeit ist begehrt zu vergangen
b4717311-34a9-4ad1-9678-4efb661c7350.flac	ich bin der target text	sie haben das ertrenzt aber uns ist spranger und jetzt sein gut
d9f2ee12-5734-45aa-8a0f-e55809938119.flac	ich bin der target text	eine übergriffe ausserordentliche politik
e553505f-23a0-49b8-9dc6-cd35f6fb337d.flac	ich bin der target text	das ebeninstitut ist ein gemeinnütziger verein
a0c8f8ce-723c-4a25-86a2-ba653c1f07dd.flac	ich bin der target text	es früchtet die finanzierung des mikroprojekts nicht die lösung
3a604fa9-3e07-4ed0-af8b-903ee92e009a.flac	ich bin der target text	die bundeslige zu deunnahme oder erstem
af50c270-27b7-47d8-aea5-35ab94ccf74a.flac	ich bin der target text	warum in dieser form und in diesen zehn merken
916ec3c9-026d-4216-910a-4453ddb38470.flac	ich bin der target text	alle sind mit natalbereit anwesend
d52da33c-2bce-4bb6-ab7d-66cd5451d561.flac	ich bin der target text	der kanton aargau ist von christoph geprägt
65410270-028c-46fd-88de-a5c5caef0df2.flac	ich bin der target text	das pfand ist schon ein preis inbegriffen
3f3668d8-4f9d-425f-985e-b7f1f5f2b3f2.flac	ich bin der target text	sie haben herrn kurzhaus abgesetzt
350d7a7d-1403-4246-b880-a6960c8bb1a1.flac	ich bin der target text	was aber verzielen sie uns
34e25afb-3ac1-4e91-b9f6-61907ddf99ee.flac	ich bin der target text	der belle konnte um campanielle arkt geworden werden
56e3afd8-43df-407f-969b-f78dc9942d5f.flac	ich bin der target text	die lediglichter thun ist daher auch heute geworden
507a6278-f4ee-4f51-8553-88e4c6964dc0.flac	ich bin der target text	ich halte ihn für den ausdruck dass er diese arbeit gibt
3145c757-937e-40d1-a0a2-ff079b7cc678.flac	ich bin der target text	von saan dass ich mit helmsannstein verblendet habe
25350e36-6b91-4a22-8019-c474032532fd.flac	ich bin der target text	in der volksschule sind die fahrgastzahlen deutlich gestegen
3089dd69-c016-42f4-92cf-142e8fd12b13.flac	ich bin der target text	die erkunftsschreibung bei der beg komfoliert es nicht zur debatte
d828562c-deba-4620-bf90-59c010fc9a69.flac	ich bin der target text	das ist nicht der fall
c8519b0d-8227-45fd-aa56-6b8564932f3d.flac	ich bin der target text	meine landkreis gibt es keine bedrittenden flughäfen
73127fa1-5361-46b5-a05f-b8503b1bfd23.flac	ich bin der target text	doch bleiben wir auch konkreter
031eae13-4fce-4174-8ed2-9f82b5ab1490.flac	ich bin der target text	das ist nicht der fall
a2c39846-b7cf-47ca-9947-35b42154c96b.flac	ich bin der target text	wir müssen im prinzip gegen fischer aiabkommen gehen
7325a984-f60f-43e7-a68c-9b5e259cf144.flac	ich bin der target text	dies wenn sie mir ein experiment klären würden
86ac1482-20e2-402f-b23a-8e3082b6bf5d.flac	ich bin der target text	denn etwas darüber verzichten wir nicht verwesen
9d52105b-3e8d-4769-b3b4-db730d94ab32.flac	ich bin der target text	deshalb bitte ich sie hier meine unterschrift zurückzunehmen
f90e9520-0b36-483d-a9e3-16f8f1d9a7e3.flac	ich bin der target text	es gibt keine ursprache für diese fraktionen nichts
259ba689-4106-49d7-90f2-7f5cef8f95df.flac	ich bin der target text	sie strafen eingefährt
d3b7934d-5e16-4cfa-a66f-62c6f4da295a.flac	ich bin der target text	das kraft hier spiel hat er bis seiner mutter gelernt
daf5db3b-2568-4bb3-a4ac-8d671bb1fc43.flac	ich bin der target text	es ist machaber aber wahr
f9d9c21a-e544-4a1f-9746-bcc120e29402.flac	ich bin der target text	alle lieben mitglieder eine armeinische wurzeln
ddd40ea3-64e8-47a3-a7cf-d2064962ae39.flac	ich bin der target text	das ist wirklich tragisch
459949f0-d0d5-4fee-a263-597c7b091df4.flac	ich bin der target text	das gemeinsame interesse statt klar und deutlich fest
301f80ec-7a9e-4b0c-830b-b0fc3694aeef.flac	ich bin der target text	das bedrohte einen chemischen und nicht über belin und es ist heute
f4253eec-5380-496a-8879-bf0f82f9aed8.flac	ich bin der target text	der verkauf soll löser gespendet worden war
98f2350c-7974-4b3e-b3d4-82daf883ad5d.flac	ich bin der target text	die planungserklärungen 2 und 3 sind heute eher ausnahmen
572ea97a-59de-4211-b49f-9ea6fbf19ce0.flac	ich bin der target text	das ist auch für politik an
e7256fd7-499b-4afb-9a9a-cd15d3f46d08.flac	ich bin der target text	es geht um die willeroltige unterstützung
0a4e994d-5a6b-4cc0-b1e4-8d1f729c069a.flac	ich bin der target text	sie salten wird auf zwei mehr jahren geschätzt
33223f23-f5e1-43fa-9ae1-71181726fc89.flac	ich bin der target text	leben sie ja noch nicht von ländern durften
1c307352-da29-4211-a0ca-60834de1566e.flac	ich bin der target text	heinein war die mitglieder des grossen rates heinein
d7f161f7-9ab9-43fa-8f9a-0d040a0c4bf2.flac	ich bin der target text	wenig später stirrt sind
dde85da1-acbb-4412-8b5a-7d05052a4080.flac	ich bin der target text	beim sportschüssen bestehen das aus dünner papen
6038df36-7c0e-49ad-b315-7915999e8ad9.flac	ich bin der target text	ich habe das möglich gewesen
50dbf69a-2bd2-428b-81b9-529749223cdc.flac	ich bin der target text	blarurness verlieren geworden
c982865e-46b0-4a34-8bdd-5ed880cc9d57.flac	ich bin der target text	ich ergibt den gesuch dass es keine mehrheit kollegisch
a053c97e-9be0-4eb5-8877-af7d0167dfca.flac	ich bin der target text	danke nur festlegend in handeln
3b09a849-415f-42e6-b34f-2001535aa855.flac	ich bin der target text	dies hat mir eine begrössere kapäleginnen und kommission
5631c121-8fe9-45c4-b62d-5a94d701c060.flac	ich bin der target text	sie möchten keine vorstellungen erhalten
5deb4d8a-cd8b-4d11-8073-10d885d360b5.flac	ich bin der target text	das ist nicht der fall
526af2cf-e8c7-444c-917c-792823536821.flac	ich bin der target text	ich muss noch einmal so schulrösung handeln
85a94506-9291-4e3c-8551-b8ec6543d0c2.flac	ich bin der target text	direktor der hochschule thun
4b8d1bca-1526-4be7-892f-581329e1c7e2.flac	ich bin der target text	du aufgaben hin als werte breit definition
7a4edc5f-b744-4f0b-8f28-b0b1dd59bd2c.flac	ich bin der target text	aber darüber passt uns nicht jetzt konzept
f9d729d5-2919-41c6-89b2-ea698357eb96.flac	ich bin der target text	wir sehen folgendes angebot liegt nur an übernommene diskussion
3298d40c-6837-43fd-b8cf-c46d3c19184e.flac	ich bin der target text	mehr hat sie in einer hotellerie universität versucht
3e7f6d9c-07d8-4c8d-9b5b-f55bce7b58a8.flac	ich bin der target text	ich gehe wieder auf der liste
8ebfa1b3-c92d-43c9-9740-20abdd15e392.flac	ich bin der target text	sie hat dem pritischen fingramma e deputiert
257bb77f-0304-4160-b95a-e6687890ce4d.flac	ich bin der target text	alles sind ja bei uns n
ebd48ea4-1cac-44e8-8eac-a891facd5191.flac	ich bin der target text	es ist ein mitteplom es ist studien beendet
8bcd54bb-6eed-46f7-8860-18233ff28484.flac	ich bin der target text	warum einer meist von innenherer herde
01288a8a-6660-484b-ad59-4de7313c887e.flac	ich bin der target text	die flüchtlinge ist ein bisschen masserschneid des beliebs spielen
1cccaffd-b3ea-442d-adea-85be608c4883.flac	ich bin der target text	es gibt weitere weiterbildungen
be3f0c81-e4fd-4ca5-800e-36ec53bbaad8.flac	ich bin der target text	aber auch an die vier mode schwierigkäten
a192a6f4-6cb9-4c3e-9fb1-fe0290278636.flac	ich bin der target text	grossrätin heutlich gab in ein presse
05c322c0-176e-4e11-bca5-73046e049d61.flac	ich bin der target text	ich möchte diese allerdings erfolgen möchte anschauen
3ae0f513-dca0-41d5-a3d6-dece0eeca2bd.flac	ich bin der target text	die unterlitte ist drei lappik
230a4636-2ac9-48a9-aa11-57e53262b9dd.flac	ich bin der target text	ich werde später eingetrüffen
7757ca28-8f52-4843-beac-53af2dec9fa4.flac	ich bin der target text	die sik und du ist so und vom prestigen
e9a0d34f-ef7b-4f4d-8d77-e673465cdf20.flac	ich bin der target text	das haben wir jetzt zum handeln genutzt
