id	target_txt	prediction
2d2cf078-f7ba-4649-abbe-71b295992bd1	das gesetz hat sich grundsätzlich sehr bewährt	das gesetz hat sich grundsätzlich sehr bewährt
81646f6d-1380-4bf2-b50e-cf5c71ca639e	das hat auch mit solidarität zu tun	es gab auch mit solidaritätsteuer
06c7cf88-4ce9-47ae-bfa2-7b628c961b94	leider funktioniert das nur bedingt	leider funktioniert da nur bedingt
4af059c9-3bd7-49be-821d-e2b9ee5b01a5	da braucht es mehrere tage intensivste regenfälle	dazu braucht es mehrere tage intensive regenfälle
1bd2f2b0-a6a0-47e8-9664-af84cfd65f5c	deshalb ist punkt 2c auch erfüllt	deshalb ist das zweite c auch erfüllt
e410bc58-9e65-4f00-9ea6-7b782ec31ac6	das sollten wir wirklich beibehalten	dem sollten wir wirklich beibehalten
342bc586-ea65-4a10-a6c6-709b614792be	es ist klar dass es ein zeichen ist	es ist klar dass es zeichen ist
92a53d42-8c0e-41e7-a8fc-1cdeff4b3300	er sei billiger ortsverträglicher	man soll billiger ortsverträglicher
a2ef8243-2808-43f8-a12c-b2205f156483	das vorgehen hat sich sicher bewährt	dieses vorgehen hat sich sicher bewährt
a375b6eb-69ad-40e3-a2f7-1fc4e04ac583	das sind minimale ansprüche	das sei minimale ansprüche
8c6b9f4c-f65c-42d0-a94c-ef463bb8577c	die medienpolitik war auch ein grosses thema	die medienpolitik ist allen grosses thema
1699c152-9c5d-443e-adba-702d83b9d16f	wir finden das sei die falsche flughöhe	wir finden das ist falsche flughöhe
954b5f55-d172-4797-a553-e6cebeaa510a	es ist ein kleiner aufwand mit grosser wirkung	es ist kleiner aufwand und grosse wirkung
9c333b23-98c2-4c7a-9e84-f168c8829524	daher unterstützen wir den antrag	deshalb unterstützen wir den antrag
385981ab-6b27-4f0c-a29d-dd7082b0cc74	die gesellschaft ist im wandel begriffen	die gesellschaft war im wandel
06a76cdf-5c26-4262-bd12-cb951c4591a1	irgendetwas stimmt dort im verhältnis nicht	irgendetwas stimmt dort im verhältnis nicht
ed4f9a2d-3df6-4196-8558-8641e1bfbeb7	das gehört für uns ebenso zur unterstützung	das geht für uns eben so zur unterstützung
8149335c-a57e-4c6b-94ba-adaaac0cae68	ich fasse mich deshalb relativ kurz	ich fasse mich deshalb relativ kurz
6a2f669d-c7d2-4da1-a7f9-144bd15b9cdf	am schlimmsten ist meiner meinung nach	wo schwimmste ist dass meiner meinung nach
4c38ae8c-3fc6-4da2-8363-88cfd3fea7f9	die motion verlangt einen faktencheck	die motion verlangt einen faktencheck
a9329d0c-268a-4b8f-a1ac-9b44f9402013	alles andere könnte ja schon gar nicht sein	alles andere könnten schon gar nicht sein
063e6372-01a2-4d21-8804-0d2ecaf0cc12	es ist ganz sicher dies ist jetzt vorbei	dieser ist ganz sicher durch
b00ead54-f65e-4dd2-b4ea-0bf364a69fae	als eigentümer kann man das durchaus tun	das eigentümer kann man das durchaus tun
135c965a-e619-4b8a-afee-dc93cabb1753	das ist privatrechtlich organisiert	das ist privatrechtlich organisiert
2319deae-3211-472c-a5ee-19308dd663e5	ich suche einfach den besten oder die beste	ich suche einfach den besten oder die besten
0d281024-2f38-4855-ac9a-553ac7403912	wer gibt schon gerne privilegien her	wer gibt schon gerne privilegien her
e34a2ec6-ee67-4bb7-8791-4dcfcde8ac8a	was bedeutet dies für den kanton bern	was bedeutet dies für den kanton bern
