id	target_txt	prediction
3234  2d2cf078-f7ba-4649-abbe-71b295992bd1	das gesetz hat sich grundsätzlich sehr bewährt	gespräch mit der grundschaft sind die landwirte bewährt
3209  81646f6d-1380-4bf2-b50e-cf5c71ca639e	das hat auch mit solidarität zu tun	sie schämte auch und mit soliden eingeschlagen
1037  06c7cf88-4ce9-47ae-bfa2-7b628c961b94	leider funktioniert das nur bedingt	meinetwegen hat er alles getan
1700  4af059c9-3bd7-49be-821d-e2b9ee5b01a5	da braucht es mehrere tage intensivste regenfälle	doch bis konkrete schritte folgen dauert es
743  1bd2f2b0-a6a0-47e8-9664-af84cfd65f5c	deshalb ist punkt 2c auch erfüllt	darum propagiert er gasherde
1378  e410bc58-9e65-4f00-9ea6-7b782ec31ac6	das sollten wir wirklich beibehalten	ja er und auch sollte man wieder tiefer sein
3297  342bc586-ea65-4a10-a6c6-709b614792be	es ist klar dass es ein zeichen ist	es ist klar dass sie sich nicht zu tun haben
682  92a53d42-8c0e-41e7-a8fc-1cdeff4b3300	er sei billiger ortsverträglicher	sie hatten sich nie gestritten
1393  a2ef8243-2808-43f8-a12c-b2205f156483	das vorgehen hat sich sicher bewährt	nach vorne prahlte er sich zum teil überwegen
1116  a375b6eb-69ad-40e3-a2f7-1fc4e04ac583	das sind minimale ansprüche	und doch stoppt man ronaldo
439  8c6b9f4c-f65c-42d0-a94c-ef463bb8577c	die medienpolitik war auch ein grosses thema	medizin politik ist aber ein grosses thema
3076  1699c152-9c5d-443e-adba-702d83b9d16f	wir finden das sei die falsche flughöhe	der finder beeilte sich seinem falschen zu hören
2381  954b5f55-d172-4797-a553-e6cebeaa510a	es ist ein kleiner aufwand mit grosser wirkung	die kleine kriecht schon durch die grosse wirkung
1785  9c333b23-98c2-4c7a-9e84-f168c8829524	daher unterstützen wir den antrag	dieser unterstützten wir den antrag
2075  385981ab-6b27-4f0c-a29d-dd7082b0cc74	die gesellschaft ist im wandel begriffen	das gefieder war allgemein stumpf schwarz
2849  06a76cdf-5c26-4262-bd12-cb951c4591a1	irgendetwas stimmt dort im verhältnis nicht	die hülsenfrüchtler wie bohnen und erbsen folgen
1908  ed4f9a2d-3df6-4196-8558-8641e1bfbeb7	das gehört für uns ebenso zur unterstützung	wieso spart er dann mit der marita so einen haufen geld
1014  8149335c-a57e-4c6b-94ba-adaaac0cae68	ich fasse mich deshalb relativ kurz	ich fürchte dass er euch täuscht
2582  6a2f669d-c7d2-4da1-a7f9-144bd15b9cdf	am schlimmsten ist meiner meinung nach	auf schwingstücken wird dieses urteil jedoch gefasst
2685  4c38ae8c-3fc6-4da2-8363-88cfd3fea7f9	die motion verlangt einen faktencheck	ich schiele angewidert hinein
465  a9329d0c-268a-4b8f-a1ac-9b44f9402013	alles andere könnte ja schon gar nicht sein	auch schon von oben rein kommt das volk wohl nicht schein
474  063e6372-01a2-4d21-8804-0d2ecaf0cc12	es ist ganz sicher dies ist jetzt vorbei	du stiehlst davon ein paar kilo oder aber du stiehlst
977  b00ead54-f65e-4dd2-b4ea-0bf364a69fae	als eigentümer kann man das durchaus tun	dass ich dich besser hören kann
2085  135c965a-e619-4b8a-afee-dc93cabb1753	das ist privatrechtlich organisiert	ausserdem hatte der verfahren einen gelungenen schlüpf
988  2319deae-3211-472c-a5ee-19308dd663e5	ich suche einfach den besten oder die beste	schrumpfst du zu einem kleinen käfer zusammen
1488  0d281024-2f38-4855-ac9a-553ac7403912	wer gibt schon gerne privilegien her	man geht von haus zu haus und klingelt an der hand
2540  e34a2ec6-ee67-4bb7-8791-4dcfcde8ac8a	was bedeutet dies für den kanton bern	übernachten auf dem konton bern gibt es dann frauen
3305  646df9fb-f621-43f8-be84-fe33a264988b	die bevölkerung sagt dann ja oder nein	dann stürzt du dich von einem kliff
935  c748c335-277e-477d-aa70-30994c83bfdc	und auch wenn dann auch mitarbeiter arbeiten	und auch wenn ich sie vorher schubse
